"ptrid","resultid","offsetcount","moduleid","moduleoffset","offset1","offset2","offset3","offset4","offset5","offset6","offset7"
"1","16078","7","48","60282864","392","40","16","184","120","144","144"
"1","16079","7","48","60282864","392","40","16","184","208","136","144"
"1","16080","7","48","60282864","392","40","16","184","208","144","144"
"1","16081","7","48","60282864","392","40","16","184","32","176","144"
"1","16082","7","48","60282864","392","40","16","184","32","184","144"
"1","16083","7","48","60282864","392","40","16","184","120","176","144"
"1","16084","7","48","60282864","392","40","16","184","120","184","144"
"1","16085","7","48","60282864","392","40","16","184","208","176","144"
"1","16086","7","48","60282864","392","40","16","184","208","184","144"
"1","16087","7","48","60022984","392","40","16","184","80","0","144"
"1","16088","7","48","60022984","392","40","16","184","80","40","144"
"1","16089","7","48","60282864","392","40","16","184","80","200","144"
"1","16090","6","48","60022984","392","40","16","184","224","144","null"
"1","16091","6","48","60022984","392","40","16","184","256","144","null"
"1","16092","6","48","60022984","392","40","16","184","288","144","null"
"1","16093","6","48","60022984","392","40","16","184","320","144","null"
"1","16094","6","48","60022984","392","40","16","184","352","144","null"
"1","16095","6","48","60022984","392","40","16","184","384","144","null"
"1","16096","6","48","60022984","392","40","16","184","416","144","null"
"1","16097","6","48","60022984","392","40","16","184","448","144","null"
"1","16098","6","48","60022984","392","40","16","184","480","144","null"
"1","16099","6","48","60022984","392","40","16","184","512","144","null"
"1","16100","6","48","60282864","392","40","16","184","0","144","null"
"1","16101","6","48","60282864","392","40","16","184","40","144","null"
"1","16102","6","48","60282864","392","40","16","184","80","144","null"
"1","16103","6","48","60282864","392","40","16","184","120","144","null"
"1","16104","6","48","60282864","392","40","16","184","160","144","null"
"1","16105","7","48","60320264","392","40","16","184","64","368","144"
"1","16106","7","48","60599024","392","40","16","184","64","368","144"
"1","16107","7","48","60320264","392","40","16","184","64","384","144"
"1","16108","7","48","60599024","392","40","16","184","64","384","144"
"1","16109","7","48","60320264","392","40","16","184","72","368","144"
"1","16110","7","48","60599024","392","40","16","184","72","368","144"
"1","16111","7","48","60320264","392","40","16","184","72","384","144"
"1","16112","7","48","60599024","392","40","16","184","72","384","144"
"1","16113","6","48","60320264","392","40","16","184","432","144","null"
"1","16114","6","48","60599024","392","40","16","184","432","144","null"
"1","16115","7","48","63048656","1256","24","664","424","3368","32","144"
"1","16116","7","48","64359312","1256","24","664","424","3368","32","144"
"1","16117","7","48","63048656","1256","24","664","424","3368","64","144"
"1","16118","7","48","64359312","1256","24","664","424","3368","64","144"
"1","16119","7","48","63048656","1256","24","664","1224","3360","32","144"
"1","16120","7","48","64359312","1256","24","664","1224","3360","32","144"
